阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,2011,8.8,566815
射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,1993,8.7,597037
哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,1979,9.1,240801
新世界,朴勋政 Hoon-jung Park,2013,8.9,383997
我是山姆,杰茜·尼尔森 Jessie Nelson,2001,9.0,316570
恐怖直播,金秉祐 Byeong-woo Kim,2013,8.7,613558
头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,2018,8.7,1286914
血战钢锯岭,梅尔·吉布森 Mel Gibson,2016,8.7,743164
模仿游戏,莫滕·泰杜姆 Morten Tyldum,2014,8.8,604686
喜宴,李安 Ang Lee,1993,9.0,331606
七武士,黑泽明 Akira Kurosawa,1954,9.3,183742
花样年华,王家卫 Kar Wai Wong,2000,8.7,559940
头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,2015,8.8,568637
黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.8,421889
九品芝麻官,王晶 Jing Wong,1994,8.7,617751
电锯惊魂,詹姆斯·温 James Wan,2004,8.8,496044
三块广告牌,马丁·麦克唐纳 Martin McDonagh,2017,8.7,775777
达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,2013,8.8,427323
你的名字。,新海诚 Makoto Shinkai,2016,8.5,1304281
惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,9.0,264256
卢旺达饭店,特瑞·乔治 Terry George,2004,8.9,307820
疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,8.7,794087
上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund,2002,9.0,285668
谍影重重3,保罗·格林格拉斯 Paul Greengrass,2007,8.8,394922
心迷宫,忻钰坤 Yukun Xin,2014,8.7,483155
英雄本色,吴宇森 John Woo,1986,8.6,500530
风之谷,宫崎骏 Hayao Miyazaki,1984,8.9,337494
纵横四海,吴宇森 John Woo,1991,8.8,394576
色，戒,李安 Ang Lee,2007,8.6,719514
海街日记,是枝裕和 Hirokazu Koreeda,2015,8.8,416624
岁月神偷,罗启锐 Alex Law,2010,8.7,551942
记忆碎片,克里斯托弗·诺兰 Christopher Nolan,2000,8.7,569274
茶馆,谢添 Tian Xie,1982(中国大陆),9.5,116986
爱在午夜降临前,理查德·林克莱特 Richard Linklater,2013,8.9,366008
忠犬八公物语,Seijirô Kôyama,1987,9.2,181442
绿里奇迹,弗兰克·德拉邦特 Frank Darabont,1999,8.9,301630
荒蛮故事,达米安·斯兹弗隆 Damián Szifron,2014,8.8,415024
爆裂鼓手,达米恩·查泽雷 Damien Chazelle,2014,8.7,546371
小偷家族,是枝裕和 Hirokazu Koreeda,2018,8.7,772445
贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,8.6,709339
疯狂的石头,宁浩 Hao Ning,2006,8.6,766910
无敌破坏王,瑞奇·莫尔 Rich Moore,2012,8.7,502959
东邪西毒,王家卫 Kar Wai Wong,1994,8.6,544898
雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,9.1,204756
真爱至上,理查德·柯蒂斯 Richard Curtis,2003,8.6,685904
冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,8.6,577891
恐怖游轮,克里斯托弗·史密斯 Christopher Smith,2009,8.5,793749
你看起来好像很好吃,藤森雅也 Masaya Fujimori,2010,8.9,314279
2001太空漫游,斯坦利·库布里克 Stanley Kubrick,1968,8.9,294452
黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,2010,8.6,748327
无间道2,刘伟强 / 麦兆辉,2003,8.7,435044
魔女宅急便,宫崎骏 Hayao Miyazaki,1989,8.7,429473
遗愿清单,罗伯·莱纳 Rob Reiner,2007,8.7,416968
牯岭街少年杀人事件,杨德昌 Edward Yang,1991,8.9,270630
背靠背，脸对脸,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,1994,9.5,112671
雨人,巴瑞·莱文森 Barry Levinson,1988,8.7,382180
小丑,托德·菲利普斯 Todd Phillips,2019,8.7,944374
大佛普拉斯,黄信尧 Hsin-yao Huang,2017,8.7,416626
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,2004,8.6,629569
可可西里,陆川 Chuan Lu,2004,8.9,283723
城市之光,Charles Chaplin,1931,9.3,134270
东京教父,今敏 Satoshi Kon,2003,9.0,200679
源代码,邓肯·琼斯 Duncan Jones,2011,8.5,789468
萤火虫之墓,高畑勋 Isao Takahata,1988,8.7,387694
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...<br>
                            2010,1966,8.9,237873
人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,2001,8.7,417269
海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan,2016,8.6,479542
罗生门,黑泽明 Akira Kurosawa,1950,8.8,293830
心灵奇旅,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,2020,8.7,899218
青蛇,徐克 Hark Tsui,1993,8.6,491256
波西米亚狂想曲,布莱恩·辛格 Bryan Singer,2018,8.6,562694
终结者2：审判日,詹姆斯·卡梅隆 James Cameron,1991,8.8,320925
疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,2015,8.7,494067
新龙门客栈,李惠民 Raymond Lee,1992,8.7,415457
